Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,high_pollution
05/11/2004,14.00.00,4.4,1460.0,,25.0,1430.0,524.0,466.0,125.0,1932.0,1604.0,23.0,49.0,1.362,1
09/02/2005,23.00.00,1.9,,,,,156.0,,123.0,,,,,,0
24/08/2004,04.00.00,0.4,762.0,,1.7,563.0,12.0,1181.0,21.0,1208.0,492.0,21.7,42.6,1.0907,0
22/07/2004,19.00.00,4.0,1342.0,,23.0,1377.0,261.0,567.0,181.0,2017.0,1515.0,37.1,21.3,1.3223,1
07/06/2004,05.00.00,0.5,732.0,,2.4,613.0,44.0,1273.0,40.0,1413.0,605.0,18.2,54.1,1.1155,0
12/06/2004,13.00.00,1.6,1067.0,,9.6,962.0,95.0,860.0,91.0,1658.0,802.0,35.1,21.8,1.2093,0
27/04/2004,13.00.00,3.0,1251.0,411.0,18.0,1238.0,150.0,773.0,107.0,1779.0,1109.0,28.2,20.4,0.7677,1
17/07/2004,19.00.00,2.1,1083.0,,10.7,1003.0,95.0,787.0,112.0,1524.0,842.0,34.0,19.2,1.0073,1
13/02/2005,12.00.00,1.5,1220.0,,5.5,787.0,204.0,675.0,154.0,1310.0,1163.0,16.3,56.6,1.0422,0
28/04/2004,22.00.00,1.4,1146.0,156.0,8.6,923.0,79.0,845.0,96.0,1575.0,1166.0,19.6,49.8,1.1221,0
24/07/2004,07.00.00,1.0,1062.0,,8.1,902.0,69.0,733.0,65.0,1715.0,1055.0,25.2,49.1,1.5546,0
11/03/2005,11.00.00,3.0,,,,,812.0,,235.0,,,,,,1
24/03/2005,19.00.00,5.9,1726.0,,30.8,1570.0,659.0,359.0,200.0,2021.0,1947.0,20.1,43.2,1.0051,1
18/09/2004,06.00.00,0.8,835.0,,3.6,690.0,122.0,1183.0,71.0,1257.0,621.0,20.1,47.8,1.1144,0
07/06/2004,02.00.00,0.4,760.0,,2.6,626.0,22.0,1263.0,38.0,1386.0,575.0,17.8,54.1,1.0938,0
10/12/2004,11.00.00,1.5,883.0,,6.2,821.0,304.0,886.0,111.0,967.0,844.0,16.2,26.2,0.4789,0
05/06/2004,04.00.00,0.7,852.0,,4.5,739.0,37.0,1095.0,63.0,1525.0,837.0,19.6,54.8,1.236,0
22/11/2004,15.00.00,3.1,1361.0,,21.8,1347.0,980.0,518.0,239.0,1456.0,1851.0,8.3,49.3,0.5414,1
13/07/2004,00.00.00,1.5,945.0,,7.6,883.0,132.0,837.0,94.0,1563.0,1015.0,19.8,47.7,1.093,0
28/03/2004,12.00.00,1.8,1114.0,151.0,7.7,887.0,92.0,1020.0,86.0,1438.0,768.0,21.3,26.4,0.6607,0
08/11/2004,19.00.00,6.6,1303.0,,28.9,1524.0,,515.0,,1744.0,1580.0,10.6,53.4,0.6818,1
29/01/2005,03.00.00,0.6,790.0,,0.6,455.0,,1376.0,,751.0,336.0,1.6,52.9,0.3692,0
19/08/2004,04.00.00,0.5,841.0,,1.9,578.0,11.0,1144.0,16.0,1464.0,463.0,27.7,52.5,1.923,0
21/07/2004,22.00.00,3.1,1295.0,,17.0,1211.0,134.0,602.0,120.0,1917.0,1404.0,30.1,35.8,1.5034,1
30/01/2005,10.00.00,0.8,849.0,,1.4,537.0,107.0,1148.0,82.0,757.0,460.0,4.6,39.0,0.333,0
02/01/2005,21.00.00,2.9,,,,,470.0,,160.0,,,,,,1
27/09/2004,02.00.00,1.0,884.0,,5.0,764.0,110.0,921.0,75.0,1247.0,900.0,14.9,58.9,0.9891,0
08/02/2005,12.00.00,1.8,1064.0,,7.6,881.0,340.0,727.0,194.0,979.0,1099.0,11.4,27.8,0.3748,0
18/11/2004,00.00.00,2.7,1119.0,,8.2,908.0,387.0,735.0,167.0,1173.0,1197.0,8.8,65.5,0.7435,1
18/03/2004,12.00.00,2.2,1379.0,,12.5,1068.0,171.0,899.0,139.0,1663.0,1374.0,23.8,28.2,0.8219,1
02/11/2004,15.00.00,5.8,1605.0,,32.3,1603.0,674.0,415.0,168.0,2199.0,1912.0,25.2,50.6,1.5989,1
21/05/2004,10.00.00,2.8,1329.0,,17.1,1214.0,216.0,700.0,148.0,1845.0,1581.0,26.5,27.0,0.9217,1
15/12/2004,08.00.00,3.5,,,,,591.0,,116.0,,,,,,1
26/10/2004,18.00.00,9.5,1908.0,,52.1,2007.0,952.0,325.0,180.0,2775.0,2372.0,22.5,61.5,1.6579,1
15/02/2005,16.00.00,1.4,923.0,,4.9,761.0,218.0,909.0,124.0,840.0,609.0,12.1,20.7,0.2906,0
24/11/2004,05.00.00,1.0,931.0,,3.4,679.0,151.0,947.0,66.0,1138.0,867.0,10.5,77.8,0.9839,0
12/03/2005,15.00.00,0.2,1038.0,,3.8,699.0,160.0,765.0,105.0,1042.0,515.0,17.7,35.0,0.7014,0
03/03/2005,02.00.00,1.1,986.0,,3.5,682.0,155.0,875.0,117.0,884.0,1205.0,3.8,45.9,0.3728,0
03/11/2004,06.00.00,0.7,890.0,,4.3,727.0,151.0,917.0,50.0,1290.0,833.0,16.9,70.5,1.3504,0
30/11/2004,06.00.00,0.7,879.0,,1.9,575.0,110.0,1262.0,64.0,1111.0,537.0,11.5,81.4,1.1025,0
22/09/2004,09.00.00,5.5,1494.0,,29.0,1528.0,701.0,479.0,165.0,2201.0,1798.0,23.5,52.0,1.4833,1
02/04/2005,02.00.00,0.6,835.0,,1.5,546.0,102.0,1111.0,81.0,768.0,391.0,12.2,35.6,0.5038,0
19/09/2004,09.00.00,1.7,1027.0,,8.8,933.0,224.0,806.0,85.0,1465.0,1050.0,22.2,48.0,1.2678,0
28/02/2005,22.00.00,0.9,776.0,,1.9,580.0,122.0,1183.0,90.0,655.0,402.0,1.1,35.4,0.2382,0
29/11/2004,09.00.00,5.9,1609.0,,29.5,1540.0,948.0,486.0,139.0,1961.0,1803.0,11.3,75.3,1.0048,1
02/11/2004,21.00.00,5.9,1461.0,,29.1,1529.0,668.0,450.0,96.0,2111.0,1573.0,20.2,68.6,1.6034,1
10/04/2004,09.00.00,2.0,1112.0,157.0,8.8,931.0,124.0,869.0,84.0,1588.0,1011.0,15.0,53.1,0.8993,1
07/01/2005,03.00.00,1.0,951.0,,2.5,620.0,,938.0,,1077.0,779.0,7.9,75.1,0.805,0
11/04/2004,01.00.00,1.2,978.0,75.0,4.0,711.0,48.0,1144.0,63.0,1304.0,750.0,11.0,56.6,0.7418,0
14/08/2004,01.00.00,1.0,919.0,,4.5,737.0,49.0,899.0,63.0,1534.0,611.0,25.1,55.7,1.7471,0
09/04/2004,20.00.00,3.0,,234.0,,,191.0,,127.0,,,,,,1
21/11/2004,21.00.00,1.3,1136.0,,7.7,885.0,348.0,806.0,163.0,1006.0,1403.0,7.1,43.2,0.436,0
15/02/2005,13.00.00,1.3,906.0,,5.5,790.0,211.0,893.0,138.0,837.0,642.0,12.3,19.3,0.274,0
24/06/2004,07.00.00,1.2,1030.0,,6.9,851.0,102.0,824.0,68.0,1700.0,983.0,21.9,57.0,1.4742,0
01/04/2005,19.00.00,2.2,961.0,,7.4,874.0,248.0,747.0,160.0,1003.0,757.0,15.6,26.2,0.4604,1
06/09/2004,07.00.00,1.8,1120.0,,7.8,890.0,,728.0,,1546.0,1035.0,23.6,49.6,1.4247,0
18/01/2005,09.00.00,5.1,1350.0,,20.3,1305.0,839.0,509.0,175.0,1383.0,1745.0,4.3,56.8,0.4768,1
13/06/2004,04.00.00,0.5,879.0,,3.1,658.0,25.0,1121.0,39.0,1511.0,564.0,24.4,48.3,1.4499,0
14/03/2005,09.00.00,4.0,1572.0,,22.9,1374.0,680.0,411.0,155.0,1763.0,1771.0,11.7,61.7,0.8483,1
12/08/2004,22.00.00,1.2,989.0,,6.0,814.0,53.0,845.0,65.0,1657.0,680.0,28.6,53.7,2.0691,0
09/12/2004,10.00.00,1.4,937.0,,4.7,750.0,263.0,1386.0,102.0,1141.0,790.0,14.3,55.4,0.9005,0
02/08/2004,10.00.00,1.9,1134.0,,11.1,1017.0,144.0,689.0,115.0,1774.0,964.0,32.7,36.9,1.7953,0
14/03/2005,21.00.00,4.0,1346.0,,14.2,1124.0,510.0,502.0,192.0,1490.0,1598.0,15.3,52.6,0.906,1
02/12/2004,04.00.00,0.9,889.0,,2.9,646.0,131.0,2047.0,70.0,1163.0,743.0,12.0,77.4,1.0825,0
25/08/2004,09.00.00,2.9,1252.0,,15.6,1168.0,193.0,557.0,107.0,1938.0,1352.0,28.1,47.4,1.7753,1
19/12/2004,21.00.00,4.3,1254.0,,13.8,1111.0,521.0,630.0,151.0,1360.0,1198.0,5.8,84.5,0.7822,1
12/07/2004,00.00.00,0.9,954.0,,7.5,879.0,78.0,837.0,82.0,1550.0,834.0,21.6,44.0,1.1244,0
14/04/2004,12.00.00,2.1,1122.0,238.0,10.4,993.0,132.0,859.0,95.0,1571.0,993.0,18.4,34.2,0.7185,1
23/05/2004,05.00.00,0.3,864.0,,2.1,591.0,27.0,1247.0,37.0,1374.0,507.0,17.7,56.0,1.1215,0
12/01/2005,03.00.00,1.1,1022.0,,4.3,729.0,,803.0,,1139.0,1034.0,11.5,68.2,0.9271,0
04/02/2005,16.00.00,1.4,987.0,,6.1,816.0,236.0,816.0,156.0,959.0,821.0,11.3,33.5,0.4476,0
19/03/2004,22.00.00,2.2,1175.0,,9.1,945.0,143.0,904.0,116.0,1604.0,1081.0,14.7,57.6,0.9573,1
20/11/2004,11.00.00,2.2,933.0,,10.3,990.0,555.0,849.0,192.0,956.0,1104.0,14.8,17.9,0.2977,1
25/01/2005,17.00.00,0.4,909.0,,3.9,706.0,194.0,928.0,118.0,923.0,658.0,5.0,50.4,0.443,0
16/03/2004,20.00.00,3.2,1474.0,230.0,15.8,1173.0,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,1
08/04/2004,20.00.00,4.3,1319.0,544.0,15.8,1172.0,232.0,746.0,136.0,1699.0,1425.0,15.8,39.8,0.7096,1
29/04/2004,05.00.00,0.8,959.0,64.0,4.4,734.0,76.0,1038.0,57.0,1470.0,861.0,13.3,67.0,1.0203,0
13/11/2004,04.00.00,1.3,1006.0,,5.0,765.0,174.0,848.0,88.0,1239.0,807.0,15.6,61.7,1.0847,0
22/06/2004,23.00.00,2.4,1050.0,,13.6,1105.0,144.0,729.0,104.0,1807.0,1122.0,23.8,39.6,1.1558,1
28/04/2004,15.00.00,3.5,1387.0,559.0,20.8,1318.0,197.0,701.0,145.0,1890.0,1299.0,28.4,23.4,0.8935,1
17/01/2005,17.00.00,4.0,1294.0,,21.2,1330.0,676.0,535.0,193.0,1363.0,1725.0,11.4,28.7,0.3865,1
17/02/2005,19.00.00,2.8,1172.0,,11.1,1017.0,315.0,623.0,198.0,1185.0,1163.0,7.6,47.8,0.5013,1
15/07/2004,21.00.00,2.8,1058.0,,14.7,1139.0,188.0,696.0,140.0,1699.0,1318.0,26.7,28.9,0.9981,1
05/12/2004,14.00.00,1.7,1019.0,,5.5,788.0,226.0,828.0,85.0,1267.0,812.0,11.4,83.7,1.1278,0
30/03/2005,09.00.00,3.1,1319.0,,15.5,1164.0,454.0,489.0,144.0,1543.0,1418.0,15.1,58.6,0.9982,1
14/03/2004,10.00.00,2.2,1332.0,129.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,1
26/03/2004,06.00.00,0.9,1005.0,64.0,4.0,713.0,103.0,1130.0,78.0,1363.0,924.0,8.0,71.8,0.7711,0
29/03/2004,07.00.00,2.9,1309.0,279.0,14.3,1125.0,181.0,844.0,103.0,1687.0,1183.0,8.1,56.8,0.615,1
02/02/2005,16.00.00,1.8,1010.0,,9.0,940.0,329.0,759.0,124.0,960.0,1027.0,14.5,18.0,0.2956,0
01/09/2004,00.00.00,1.9,1046.0,,9.5,960.0,189.0,671.0,96.0,1637.0,899.0,23.7,55.4,1.6031,0
12/02/2005,10.00.00,2.7,1381.0,,11.9,1045.0,496.0,541.0,221.0,1307.0,1706.0,7.8,58.0,0.6136,1
10/10/2004,21.00.00,1.3,1049.0,,6.1,817.0,168.0,806.0,63.0,1517.0,882.0,20.8,68.6,1.6719,0
13/12/2004,17.00.00,5.9,1595.0,,33.4,1628.0,1014.0,495.0,218.0,1822.0,2140.0,14.1,44.9,0.7194,1
27/09/2004,13.00.00,1.9,937.0,,9.1,942.0,226.0,852.0,90.0,1276.0,773.0,22.3,29.5,0.7838,0
05/07/2004,14.00.00,1.8,1049.0,,10.4,994.0,139.0,813.0,123.0,1580.0,881.0,39.5,15.6,1.102,0
09/07/2004,05.00.00,0.6,932.0,,3.9,707.0,58.0,1011.0,61.0,1509.0,554.0,26.6,42.8,1.4713,0
29/01/2005,12.00.00,1.1,873.0,,2.4,610.0,139.0,1051.0,102.0,819.0,527.0,3.6,45.8,0.3674,0
10/06/2004,11.00.00,2.4,1152.0,,13.6,1102.0,157.0,770.0,134.0,1868.0,1113.0,33.5,27.2,1.3859,1
11/04/2004,23.00.00,1.1,914.0,63.0,3.1,661.0,66.0,1256.0,81.0,1187.0,478.0,14.2,38.2,0.6163,0
02/07/2004,08.00.00,4.9,1529.0,,29.0,1526.0,300.0,476.0,149.0,2559.0,1763.0,27.4,45.5,1.6396,1
01/02/2005,00.00.00,1.3,1038.0,,4.8,756.0,200.0,813.0,146.0,921.0,1317.0,4.2,49.4,0.412,0
27/08/2004,23.00.00,1.2,,,,,74.0,,85.0,,,,,,0
27/09/2004,09.00.00,1.8,951.0,,8.2,908.0,275.0,873.0,94.0,1314.0,904.0,19.7,40.2,0.9108,0
21/02/2005,00.00.00,1.4,1009.0,,3.3,671.0,148.0,877.0,112.0,1010.0,610.0,6.7,62.8,0.6188,0
05/11/2004,01.00.00,1.8,1091.0,,9.2,945.0,213.0,698.0,62.0,1467.0,1014.0,18.4,68.5,1.439,0
26/10/2004,22.00.00,1.4,1055.0,,7.9,895.0,175.0,758.0,79.0,1468.0,1043.0,19.8,63.7,1.4524,0
05/03/2005,09.00.00,2.3,1070.0,,8.7,928.0,410.0,701.0,185.0,1112.0,1088.0,7.0,48.1,0.4847,1
30/11/2004,08.00.00,2.5,1251.0,,11.0,1015.0,475.0,751.0,127.0,1453.0,1070.0,12.3,78.9,1.1283,1
02/01/2005,17.00.00,2.6,1246.0,,8.9,936.0,438.0,665.0,164.0,1182.0,1460.0,9.9,53.3,0.6504,1
09/01/2005,19.00.00,2.7,1221.0,,9.3,952.0,432.0,641.0,165.0,1334.0,1147.0,15.2,54.7,0.9362,1
30/01/2005,00.00.00,1.1,900.0,,2.3,604.0,119.0,1051.0,92.0,815.0,469.0,2.9,49.7,0.3782,0
20/06/2004,09.00.00,1.2,,,,,59.0,,67.0,,,,,,0
02/05/2004,22.00.00,2.3,1137.0,,10.2,985.0,171.0,858.0,118.0,1607.0,1045.0,19.4,42.6,0.9485,1
17/05/2004,19.00.00,3.4,1215.0,,17.8,1234.0,180.0,796.0,125.0,1735.0,1167.0,23.5,20.8,0.5937,1
30/10/2004,09.00.00,3.0,1206.0,,14.4,1131.0,493.0,592.0,106.0,1675.0,1201.0,17.4,79.3,1.5593,1
11/11/2004,00.00.00,2.6,1104.0,,11.2,1023.0,477.0,677.0,158.0,1314.0,1189.0,9.7,73.1,0.8787,1
27/08/2004,22.00.00,1.7,,,,,97.0,,99.0,,,,,,0
18/01/2005,10.00.00,5.8,1476.0,,25.0,1428.0,1049.0,477.0,235.0,1536.0,1974.0,5.6,52.9,0.4841,1
26/05/2004,14.00.00,1.6,1027.0,,11.8,1041.0,128.0,1237.0,112.0,1345.0,915.0,32.3,13.3,0.6303,0
12/05/2004,11.00.00,3.4,1349.0,,17.9,1236.0,275.0,627.0,125.0,1964.0,1530.0,20.9,44.6,1.0872,1
18/05/2004,03.00.00,0.2,812.0,,1.2,521.0,,1413.0,,1233.0,469.0,21.2,32.9,0.8178,0
11/08/2004,20.00.00,1.4,1057.0,,7.8,890.0,72.0,778.0,57.0,1701.0,801.0,31.4,40.7,1.8377,0
18/03/2005,11.00.00,3.1,1323.0,,14.9,1144.0,457.0,502.0,187.0,1405.0,1568.0,18.8,33.5,0.7186,1
02/03/2005,14.00.00,1.9,968.0,,9.0,938.0,311.0,790.0,161.0,897.0,836.0,9.7,18.6,0.2244,0
14/07/2004,23.00.00,1.4,951.0,,9.0,939.0,96.0,849.0,101.0,1488.0,868.0,25.3,30.0,0.9508,0
13/07/2004,06.00.00,1.3,873.0,,7.3,871.0,101.0,871.0,62.0,1528.0,887.0,16.2,57.4,1.0515,0
07/04/2004,10.00.00,1.6,1087.0,196.0,7.4,876.0,112.0,911.0,96.0,1554.0,737.0,16.1,53.1,0.9675,0
07/11/2004,03.00.00,1.2,914.0,,4.6,741.0,,891.0,,1210.0,803.0,17.1,59.2,1.1477,0
12/12/2004,13.00.00,3.2,1253.0,,13.7,1108.0,478.0,633.0,156.0,1253.0,1494.0,15.1,37.4,0.6374,1
22/12/2004,14.00.00,2.4,939.0,,8.1,902.0,342.0,884.0,133.0,969.0,872.0,9.8,31.8,0.3858,1
25/01/2005,08.00.00,0.2,869.0,,2.9,646.0,180.0,1068.0,115.0,876.0,476.0,4.3,45.9,0.3843,0
11/05/2004,12.00.00,2.5,1142.0,,13.9,1115.0,144.0,776.0,96.0,1735.0,1091.0,24.3,29.8,0.8926,1
23/03/2005,20.00.00,7.2,1663.0,,32.0,1597.0,874.0,366.0,230.0,1906.0,2159.0,19.5,35.6,0.7978,1
19/07/2004,05.00.00,0.3,925.0,,4.1,717.0,75.0,936.0,75.0,1455.0,970.0,21.2,46.3,1.1501,0
06/08/2004,23.00.00,1.8,1039.0,,10.4,991.0,93.0,685.0,74.0,1820.0,1088.0,24.1,63.5,1.8828,0
08/03/2005,23.00.00,1.4,1064.0,,5.4,783.0,258.0,785.0,167.0,954.0,1319.0,6.6,46.0,0.4505,0
09/06/2004,13.00.00,2.8,1183.0,,18.0,1241.0,183.0,721.0,167.0,1937.0,1308.0,39.5,18.3,1.2917,1
14/03/2004,05.00.00,1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,0
07/07/2004,03.00.00,0.5,843.0,,3.0,655.0,,1046.0,,1377.0,826.0,24.8,36.0,1.1109,0
16/01/2005,18.00.00,1.2,899.0,,3.4,674.0,212.0,1002.0,132.0,893.0,691.0,8.4,40.9,0.4542,0
27/11/2004,06.00.00,1.7,1197.0,,7.6,881.0,320.0,820.0,99.0,1295.0,1173.0,12.3,81.9,1.1674,0
24/10/2004,01.00.00,2.1,1165.0,,11.8,1042.0,227.0,631.0,68.0,1621.0,1133.0,19.5,70.7,1.5851,1
25/09/2004,21.00.00,1.7,897.0,,7.4,875.0,223.0,937.0,88.0,1227.0,902.0,18.4,33.2,0.6975,0
15/03/2004,16.00.00,2.3,1318.0,141.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,1
12/03/2005,19.00.00,0.8,1177.0,,7.5,878.0,289.0,641.0,152.0,1224.0,844.0,14.0,47.8,0.7582,0
15/01/2005,12.00.00,2.7,1196.0,,11.6,1035.0,496.0,633.0,177.0,1259.0,1338.0,7.5,64.4,0.672,1
16/09/2004,07.00.00,4.2,1435.0,,23.4,1387.0,664.0,544.0,86.0,2140.0,1467.0,19.9,74.3,1.7083,1
01/08/2004,15.00.00,0.7,868.0,,3.9,707.0,63.0,1063.0,85.0,1325.0,417.0,40.2,17.7,1.2989,0
17/07/2004,13.00.00,1.4,1003.0,,8.2,907.0,76.0,862.0,91.0,1427.0,680.0,39.3,13.9,0.9715,0
21/10/2004,13.00.00,2.6,1263.0,,14.8,1143.0,,578.0,,1736.0,1310.0,26.6,49.3,1.6872,1
11/08/2004,13.00.00,1.3,1056.0,,5.8,802.0,52.0,824.0,47.0,1620.0,670.0,38.0,30.7,2.0022,0
15/12/2004,21.00.00,2.1,,,,,292.0,,107.0,,,,,,1
23/07/2004,00.00.00,2.7,1270.0,,16.3,1189.0,157.0,592.0,107.0,1917.0,1608.0,28.6,38.7,1.4921,1
09/02/2005,22.00.00,2.2,,,,,228.0,,157.0,,,,,,1
26/05/2004,13.00.00,1.8,1088.0,,14.0,1116.0,127.0,1128.0,112.0,1449.0,1060.0,31.6,16.4,0.7489,0
11/10/2004,17.00.00,4.8,1435.0,,25.0,1429.0,479.0,499.0,109.0,2072.0,1449.0,21.7,59.1,1.5115,1
11/07/2004,20.00.00,1.6,1011.0,,9.7,967.0,111.0,818.0,116.0,1565.0,748.0,25.3,30.9,0.9815,0
09/09/2004,01.00.00,1.2,980.0,,7.4,873.0,141.0,1088.0,98.0,1258.0,949.0,23.2,30.5,0.8558,0
23/11/2004,07.00.00,2.1,1210.0,,10.0,978.0,508.0,666.0,111.0,1332.0,1237.0,8.9,79.3,0.9088,1
03/11/2004,08.00.00,2.2,1177.0,,15.5,1166.0,297.0,621.0,75.0,1667.0,1157.0,18.8,62.5,1.3401,1
07/04/2004,13.00.00,1.8,1109.0,151.0,9.1,943.0,115.0,883.0,103.0,1604.0,767.0,18.1,42.2,0.8679,0
26/06/2004,13.00.00,1.4,960.0,,8.2,909.0,70.0,910.0,86.0,1523.0,675.0,37.7,16.0,1.0231,0
12/07/2004,01.00.00,0.8,903.0,,5.7,800.0,50.0,911.0,68.0,1478.0,751.0,20.7,46.4,1.1198,0
24/11/2004,20.00.00,8.4,1669.0,,36.0,1686.0,1074.0,384.0,181.0,2066.0,1961.0,10.1,79.3,0.9795,1
26/01/2005,22.00.00,0.4,913.0,,2.9,645.0,154.0,966.0,114.0,922.0,651.0,4.6,54.8,0.4704,0
06/11/2004,18.00.00,3.5,1346.0,,17.0,1211.0,404.0,540.0,101.0,1674.0,1340.0,20.1,59.6,1.3852,1
23/03/2004,15.00.00,1.9,1112.0,136.0,10.1,980.0,131.0,924.0,99.0,1589.0,900.0,14.1,49.8,0.7971,0
20/02/2005,06.00.00,0.5,918.0,,1.0,501.0,42.0,1148.0,40.0,881.0,420.0,8.0,54.7,0.5883,0
09/04/2004,08.00.00,2.9,,299.0,,,215.0,,117.0,,,,,,1
18/05/2004,14.00.00,2.0,1182.0,,12.5,1066.0,121.0,818.0,106.0,1663.0,965.0,30.6,20.2,0.8719,1
21/11/2004,02.00.00,0.5,889.0,,4.9,760.0,195.0,968.0,120.0,919.0,983.0,5.3,48.7,0.4364,0
16/04/2004,15.00.00,4.0,1485.0,449.0,17.5,1223.0,242.0,650.0,126.0,1980.0,1302.0,14.4,77.4,1.2654,1
18/03/2004,20.00.00,5.1,1667.0,,26.0,1453.0,276.0,684.0,176.0,2051.0,1569.0,18.6,36.2,0.7676,1
01/04/2005,13.00.00,1.3,924.0,,4.5,739.0,184.0,834.0,122.0,966.0,541.0,19.9,26.3,0.6054,0
19/02/2005,07.00.00,1.1,993.0,,4.5,736.0,235.0,819.0,148.0,941.0,1018.0,0.9,64.6,0.4294,0
03/01/2005,09.00.00,3.1,,,,,551.0,,175.0,,,,,,1
03/05/2004,00.00.00,1.6,1031.0,,7.1,861.0,97.0,903.0,94.0,1534.0,825.0,18.0,49.3,1.0086,0
28/03/2005,03.00.00,1.0,1003.0,,2.7,635.0,117.0,829.0,78.0,1235.0,711.0,13.7,80.6,1.2528,0
11/07/2004,14.00.00,0.2,775.0,,2.5,619.0,10.0,1254.0,19.0,1272.0,386.0,32.2,20.0,0.9488,0
05/01/2005,21.00.00,2.7,1248.0,,11.9,1046.0,357.0,588.0,144.0,1404.0,1316.0,13.4,65.3,0.9967,1
